Title,Body,Priority,Phase,Effort,Epic,Week,Start Date,Target Date,Labels
"#1 Fast-lane Profile MVP","Implement fast-lane mode for S-level tasks. Skip G9-G22, keep G0/G3/G4/G5. Target: <2 min verification.","P0 Critical","Short-term (Q3)","M","P0-1","W1-W2","2026-06-17","2026-07-01","p0-critical,improvement,fast-lane"
"#5 Learning Path & Video Tutorials","New learner proficiency in 30 min (vs 2 hours). Create 5 skill levels with videos and interactive onboarding.","P1 High","Short-term (Q3)","M","P1-5","W3-W4","2026-06-24","2026-07-08","p1-high,improvement,learning,ux"
"#7 Performance Baseline & Transparency","Publish gate latency baseline. Document performance profile, create GitHub Actions monitoring.","P1 High","Short-term (Q3)","M","P1-7","W5-W6","2026-07-01","2026-07-15","p1-high,improvement,performance,metrics"
"#10/#11/#12 Small Improvements","Token budget enforcement (G21), Session health signals (G22), Documentation link validation (G17).","P3 Low","Short-term (Q3)","M","P3-10/11/12","W7-W8","2026-07-08","2026-07-22","p3-low,improvement,gates"
"#3a Cortex Validation Phase A (Observe)","5 pilot projects: baseline (2 weeks) + observation (8 weeks). Collect metrics, instincts, failure patterns.","P0 Critical","Short-term (Q3)","L","P0-3a","W9-W12","2026-08-19","2026-10-14","p0-critical,improvement,cortex,research"
"#2 Upgrade Automation","Full automation: detect → recommend → apply → verify. Include auto-backup & performance comparison.","P0 Critical","Mid-term (Q4-Q1)","L","P0-2","M1-M2","2026-12-01","2027-02-01","p0-critical,improvement,automation,upgrade"
"#3b Cortex Validation Phase B (Verify)","A/B testing: 100 tasks with/without Cortex. Measure >20% improvement, publish case studies.","P0 Critical","Mid-term (Q4-Q1)","L","P0-3b","M1-M2","2026-12-01","2027-02-01","p0-critical,improvement,cortex,research,validation"
"#6 Cross-platform Script Unification","Migrate PowerShell → Bash. Support Windows/Mac/Linux uniformly. Performance testing & CI/CD.","P1 High","Mid-term (Q4-Q1)","L","P1-6","M3-M4","2027-01-01","2027-02-15","p1-high,improvement,cross-platform,devops"
"#4 DSL Unification (governance.yaml)","Consolidate 7 JSON → single YAML. Backward compatible 6 months, then full migration. Beta: 2026-09-01.","P0 Critical","Mid-term (Q4-Q1)","XL","P0-4","M5-M6","2026-06-17","2027-03-01","p0-critical,improvement,dsl,architecture"
"#8 Multi-Agent Enforcement","Enforce multi-Agent patterns in verification. Detect single-Agent antipatterns.","P2 Medium","Mid-term (Q4-Q1)","M","P1-8","M3","2027-01-01","2027-02-01","p2-medium,improvement,gates"
"#9 Knowledge Base Localization","Translate docs to Chinese. Support i18n infrastructure. Maintain parity with English.","P2 Medium","Mid-term (Q4-Q1)","M","P1-9","M4","2027-01-15","2027-02-15","p2-medium,improvement,i18n,docs"
"Publish Academic Paper","Compile Cortex research, methodology, results. Submit to top-tier venue (ICSE/FSE/ASE).","P1 High","Long-term (Q2-Q3)","L","Long-term","Q2","2027-03-01","2027-06-01","p1-high,research,paper,academic"
"Plugin Ecosystem (3-5 third-party skills)","Open skill marketplace. Publish 2 example skills, curate 3-5 community contributions.","P1 High","Long-term (Q2-Q3)","L","Long-term","Q2-Q3","2027-04-01","2027-09-01","p1-high,improvement,ecosystem,community"
"#13 ROI Dashboard & Analytics","Real-time metrics: gate rates, Cortex improvements, user retention, ecosystem stats. Public dashboard.","P3 Low","Long-term (Q2-Q3)","L","P3-13","Q2-Q3","2027-05-01","2027-09-01","p3-low,improvement,analytics,dashboard"
